Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
validation,117,2,0.00187237478901331,0.0015683406529715,0.00316727597949579,0.00478555159881925,0.999958577937191,0.941516355847389,0.943713416409497,0.00219706056210756,0.233353414251646
validation,117,3,0.00115097478186319,0.000901735628589274,0.00250505045383154,0.0156668965653455,0.99965600569495,0.63996753306246,0.637511118859756,0.00245641420270437,0.383834190923656
train,118,1,0.00174171592277361,0.00158557960666897,0.00368892133653503,0.00255456872820886,0.999985622647229,0.992977881123137,0.991752190800963,0.0012256903221749,0.123435813171241
train,118,2,0.0016050129165369,0.00131242937689748,0.00376446262837493,0.00410220868916223,0.999986357289756,1.06432717670862,1.0652382324371,0.00091105572847483,0.0855992168960884
train,118,3,0.000596057840151417,0.000501013128525467,0.00158589096615969,0.00811345016047932,0.9999393114066,0.670738604262035,0.671446963578795,0.000708359316760165,0.105608848552786
train,119,1,0.00175643695095537,0.00147969368281108,0.00381708711011508,0.00257616000939799,0.999994976214314,1.14929184177137,1.14559918496865,0.00369265680272313,0.321298443834052
train,119,2,0.00102056037317766,0.000806736128441657,0.00274730072059043,0.00260842239182553,0.999989712012631,0.919385645725072,0.918791299382231,0.000594346342841279,0.0646460324462156
train,119,3,0.000794304537280132,0.000651561222655296,0.00176967247475157,0.0108119545476121,0.999835499117171,0.592413737261046,0.592602867952947,0.000189130691901185,0.0319254399426333
train,120,1,0.00201202921476211,0.00150699707528629,0.00598944866569828,0.00295103629993166,0.999993216346423,1.34584524564327,1.34352641932064,0.00231882632263813,0.17229516767582
train,120,2,0.00136302591059233,0.00114540449484003,0.003296707660249,0.00348372070802371,0.999988717138764,1.13377597795099,1.1349387331999,0.00116275524890797,0.102555996203884
train,120,3,0.00055768279776073,0.000435053977650474,0.00154301698884057,0.00759109482368175,0.999873576101886,0.564613730274223,0.564609484619339,4.24565488332806e-06,0.00075195742782699
train,121,1,0.00160532556795497,0.00130526037319322,0.00352440865315751,0.00235452546587583,0.999993246419269,0.938009567151492,0.939448150078037,0.00143858292654486,0.153365485483639
train,121,2,0.00216361078093999,0.00156301654809464,0.0054635695642804,0.00552991371850624,0.99997050438352,0.945459187301455,0.947731327325735,0.00227214002427989,0.2403213226755
train,121,3,0.000472597982408686,0.000378982419561806,0.00110642183404125,0.00643293304428628,0.999970224243486,0.6315674588016,0.631589691984948,2.22331833472644e-05,0.00352031806538163
validation,122,1,0.00176192011648471,0.00126641993936753,0.00455550912726677,0.00258420214934153,0.999988979547985,0.860492144510282,0.857125084826294,0.00336705968398809,0.391294645217747
validation,122,2,0.00172480716043873,0.00124207107880843,0.0050568075232085,0.00440838752621859,0.999972510369298,0.883374543936509,0.882799198220936,0.000575345715572717,0.0651304386708781
validation,122,3,0.000718806009857328,0.000634131917832017,0.00163101033914781,0.00978427988557105,0.999564440165147,0.632928283070477,0.633379531712133,0.000451248641655466,0.071295382703765
train,123,1,0.00215354963238355,0.00161577788264296,0.00583102502225386,0.0031586038076588,0.999982720055374,0.904722765872411,0.906901225680991,0.00217845980858,0.240787552911786
train,123,2,0.00146889157149934,0.00127249362991461,0.00333644103276368,0.00375429986011781,0.999989809775049,1.1755728773503,1.17370279205122,0.00187008529908117,0.15907863605158
train,123,3,0.000784787380809298,0.000513193810838118,0.00227515864389288,0.0106824084373286,0.999906835628673,0.627217674061388,0.627156544046619,6.11300147689287e-05,0.00974622005995094
train,124,1,0.000980767669310509,0.000800252927438683,0.0023770099434447,0.00143848855309832,0.999997143029362,0.895480449932714,0.895687801777123,0.000207351844409231,0.0231553736795496
train,124,2,0.000887800054741294,0.000737585975994696,0.00174863737999253,0.00226910391889966,0.999993390238681,0.875080546174981,0.875236309270912,0.000155763095931127,0.0177998581515696
train,124,3,0.000453049371867242,0.00037195835898029,0.000935228906032148,0.00616684028172093,0.999756233101815,0.630949315733842,0.6309464032314,2.91250244222052e-06,0.000461606403175675
train,125,1,0.00183640862872192,0.00143358574835167,0.0051185594665627,0.00269345419296353,0.999992190530363,0.99854575437639,0.995541561542062,0.00300419283432785,0.300856803122058
train,125,2,0.00124025698117614,0.000944318060025381,0.00324566290491002,0.00316993895348375,0.999956284888783,0.604868029299676,0.601772319746088,0.00309570955358784,0.511799170006075
train,125,3,0.000618481943143958,0.000473441773882518,0.00173432550782238,0.00841868369616643,0.999782372917396,0.65079669387466,0.65110556193383,0.000308868059169298,0.0474599920491889
test,126,1,0.00430859697323144,0.00325102499870449,0.0102914390506681,0.0063194042991493,0.99996064967171,1.02351639745897,1.02824235074428,0.004725953285311,0.461736939148595
test,126,2,0.00471203505239213,0.00427528853783854,0.00816810644238297,0.0120433617302392,0.99977291063563,0.886301089048577,0.885790221542094,0.000510867506483437,0.0576404015289929
test,126,3,0.00150614541582023,0.0012670287096185,0.00280221752123833,0.0205014261075529,0.99965811428585,0.653943403784916,0.65583621896311,0.00189281517819406,0.28944632933657
train,127,1,0.00145876287056027,0.00113268657689974,0.0039269599581564,0.00213956246382081,0.999996864123903,1.23923788395267,1.24088827938017,0.00165039542750423,0.13317825809522
train,127,2,0.000945745111793681,0.000831638527201664,0.00170862017922468,0.00241720410805402,0.999986309420453,0.782635220180834,0.783152402172695,0.000517181991861349,0.0660821259413613
train,127,3,0.000819157336033271,0.0006684784746049,0.00182357383258358,0.0111502471267027,0.99976386180421,0.623366462144352,0.623319953539711,4.65086046411711e-05,0.00746087694246233
train,128,1,0.00121526305047126,0.00109103583600412,0.00225047650187749,0.00178242211872177,0.99999698265454,1.13020380011833,1.13113566025111,0.00093186013277613,0.0824506281679962
train,128,2,0.00127429656880803,0.00103776121023748,0.002558870629495,0.00325693980607522,0.999987072635773,0.838202896954556,0.83866819161489,0.000465294660334181,0.0555109821291166
train,128,3,0.000390197018854085,0.000332539947927344,0.000704822381257464,0.00531130345410105,0.999972632181868,0.634048056352962,0.63434303703947,0.000294980686507795,0.0465233957508712
validation,129,1,0.00923528606700304,0.00811751296407519,0.0164593197671179,0.0135453621766627,0.99984639810824,1.12847714037365,1.1253068066234,0.00317033375024867,0.280939120237645
validation,129,2,0.0119395538741551,0.0107277473254247,0.0204899667797298,0.0305159797423685,0.99924646347472,1.37085867754692,1.38124342531955,0.0103847477726229,0.757535984030521
validation,129,3,0.00553369710375721,0.00456717043158365,0.0105211646823165,0.0753238572335825,0.998147768595936,0.655753788007499,0.651944382926965,0.00380940508053451,0.58092002672365
train,130,1,0.00165255088652298,0.00136520522514573,0.00335971271777602,0.00242379067750772,0.999993701132865,1.05353675195988,1.05270689447266,0.000829857487221641,0.0787687269265044
train,130,2,0.00130496750795229,0.00113481592598812,0.00249522333054464,0.00333533082197671,0.999992475589518,1.22075578750359,1.22276991089212,0.00201412338853268,0.164989870140326
train,130,3,0.00063777375339737,0.000529841157141701,0.00168881725231235,0.00868128093162385,0.999955827275139,0.595486274978505,0.594815900638408,0.000670374340097979,0.112575951498156
train,131,1,0.00205012399765243,0.00167530216984438,0.00420641914072661,0.00300690978642109,0.999993327504688,1.31401723316001,1.31490456121939,0.000887328059380188,0.0675278860115326
train,131,2,0.000918588607491164,0.000672977130097701,0.00239209239549265,0.00234779554020434,0.999988208992477,0.778781077340094,0.777892924181327,0.000888153158767335,0.114044008593634
train,131,3,0.000552491977705124,0.000453665351061116,0.00107683861391628,0.00752043815753929,0.999866022285825,0.629644366780387,0.630196276747825,0.000551909967437703,0.0876542373053903
validation,132,1,0.00192297028418544,0.00129269006572089,0.00580081188754056,0.00282041387405604,0.999992737325978,1.11813782048049,1.11315563713031,0.00498218335017442,0.445578645039791
validation,132,2,0.00158472038039646,0.00131320521187809,0.00363475971647015,0.00405034355012019,0.999966093284374,0.812659842167797,0.813411869274575,0.000752027106778019,0.092538977288697
validation,132,3,0.000499839046571391,0.000443760339744879,0.000932209725907018,0.00680373433488985,0.999856896903039,0.632383617083721,0.631829129023963,0.000554488059757774,0.0876822303390516
train,133,1,0.00194886783948302,0.00147760813635009,0.00595365234410776,0.00285839772896328,0.999990347885451,1.02069779246414,1.01959652577677,0.00110126668736954,0.107893511233221
train,133,2,0.00112888138018499,0.000899994386033536,0.00273783207299991,0.00288527709597523,0.999989074684532,1.14489074473637,1.14515250717509,0.000261762438726443,0.0228635299857122
train,133,3,0.000727227845979214,0.000603762345504605,0.00189741655224757,0.00989891665910513,0.999937355178111,0.634432133809439,0.635263141604689,0.000831007795250027,0.130984505822593
test,134,1,0.00481563214860133,0.00406373768046669,0.00891743641554776,0.00706307103961245,0.999958531175561,1.2974139631179,1.29056971478824,0.00684424832966224,0.527530034686414
test,134,2,0.00244417923972839,0.00179242753470756,0.00654426856223933,0.0062470109815177,0.999917511652938,0.787751368945124,0.787203034179836,0.000548334765287817,0.0696075928147342
test,134,3,0.00196786570257366,0.00170618634547301,0.00383005583329976,0.0267862935856897,0.998921072933008,0.647190290916049,0.643949752902032,0.00324053801401658,0.500708687923894
test,135,1,0.00366560598333258,0.00317348865940323,0.00572714555233256,0.00537633163509513,0.999957256688838,0.783505091280368,0.787927845036739,0.00442275375637047,0.56448309086837
test,135,2,0.00344152509854528,0.00306554644718002,0.00578597535063341,0.00879610002995126,0.999939718165514,0.892985671747731,0.8913134399385,0.00167223180923104,0.187263005682744
test,135,3,0.00246171232504853,0.00197884662295696,0.00442057339182078,0.0335084599401379,0.996966018032996,0.644086299605597,0.644248006038363,0.000161706432765918,0.0251063301400663
train,136,1,0.00220140524411643,0.00180325879979488,0.00518147414497583,0.00322879346809863,0.999985478283575,0.889562951764843,0.894726596818784,0.00516364505394085,0.580469886217323
