CaseID,Speed_mps,Azimuth_deg,J1_CFD_Nm,J1_MAT_Nm,J1_GPR_Nm,J1_Error_Nm,J2_CFD_Nm,J2_MAT_Nm,J2_GPR_Nm,J2_Error_Nm,J3_CFD_Nm,J3_MAT_Nm,J3_GPR_Nm,J3_Error_Nm
case_36_v100_psi00,1,0,-2.44180803246926,-4.63109302436812,-2.45398669330965,0.0121786608403873,-0.819088655263988,-8.31151529898274e-08,1.67851379319646,2.49760244846045,0.771743168591596,1.99843387732921e-07,-0.342067327574194,1.11381049616579
case_37_v100_psi15,1,15,-2.92479725235054,-4.47329235563088,-2.61941792684878,0.305379325501759,-0.444427818666428,-0.802831515541947,1.94007140208004,2.38449922074646,0.0839276907233074,0.228484765776139,-0.0911428247876133,0.175070515510921
case_38_v100_psi30,1,30,-2.71621694878173,-4.01064420532255,-2.3020284602771,0.414188488504631,0.722577091243385,-1.55095130692637,4.14664397074496,3.42406687950158,0.697106755525653,0.441398472510174,-0.708799558509921,1.40590631403557
case_39_v100_psi45,1,45,-2.29311367474787,-3.27467728032441,-1.47904516726414,0.814068507483733,10.7552087335903,-2.19337632981198,32.9047908093873,22.1495820757971,0.348169010642654,0.624231602788106,0.218057083349066,0.130111927293588
case_40_v100_psi60,1,60,-1.8214,-2.31554651033223,-0.576154350510468,1.24524564948953,2.453,-2.68632638054667,4.81344740566478,2.36044740566478,0.651,0.764524380927528,0.450308371446456,0.200691628553544
case_41_v100_psi75,1,75,-0.452,-1.19861507228246,0.271844610685464,0.723844610685464,2.894,-2.99620772781135,2.47021199743265,0.423788002567346,0.823,0.852716085943016,0.338371006614484,0.484628993385516
case_42_v100_psi90,1,90,0.012,2.13830410894913e-09,0.87245309429425,0.86045309429425,3.421,-3.10190246989307,1.83660427445547,1.58439572554453,0.985,0.882796598881447,0.957135224246405,0.027864775753595
case_43_v025_psi00,0.25,0,-0.191012509467378,-0.289443314023008,-0.671416633609209,0.480404124141831,0.0208312600795269,-5.19469706186421e-09,0.561815262758841,0.540984002679314,-0.0513708099895694,1.24902117333076e-08,-0.0715510088481147,0.0201801988585452
case_44_v025_psi30,0.25,30,-0.398610268467612,-0.250665262832659,-0.288316880206511,0.1102933882611,-0.00865023429355619,-0.096934456682898,0.372958746516523,0.381608980810079,0.261372744779712,0.0275874045318859,-0.0868150255105314,0.348187770290243
case_45_v025_psi45,0.25,45,4.56437858881771,-0.204667330020275,0.000119408353944528,4.56425918046377,-1.17197570389993,-0.137086020613249,0.267303418864962,1.43927912276489,0.0694863467091054,0.0390144751742566,-0.0545087595620536,0.123995106271159
case_46_v025_psi60,0.25,60,-0.125566151211631,-0.144721656895765,0.301239418846402,0.426805570058034,-0.0819196728966651,-0.167895398784167,0.197925279608944,0.279844952505609,0.441143186993327,0.0477827738079705,-0.129272636747826,0.570415823741153
case_47_v025_psi90,0.25,90,8.13097166185443,1.33644006809321e-10,0.753944873990847,7.37702678786358,-4.4513174002419,-0.193868904368317,0.554877715431008,5.00619511567291,0.0337044857011621,0.0551747874300904,0.0891046946572139,0.0554002089560517
case_48_v050_psi00,0.5,0,-1.00601635475178,-1.15777325609203,-1.67963520614087,0.673618851389082,-0.229048205178392,-2.07787882474569e-08,1.33557368320283,1.56462188838122,-0.209427036687509,4.99608469332302e-08,-0.19278561041307,0.0166414262744387
case_49_v050_psi30,0.5,30,-1.07162113038784,-1.00266105133064,-1.13573433404718,0.0641132036593466,0.0465290033739524,-0.387737826731592,0.864434359388518,0.817905356014565,0.528279075053217,0.110349618127543,-0.389380624125107,0.917659699178324
case_50_v050_psi45,0.5,45,7.20582638091269,-0.818669320081101,-0.502214904885767,7.70804128579845,9.3283878084948,-0.548344082452994,1.2386894266095,8.08969838188529,-0.0933465458356176,0.156057900697027,-0.107841002196694,0.0144944563610761
case_51_v050_psi60,0.5,60,-0.46104927738267,-0.578886627583059,0.176085920348639,0.637135197731309,0.13373109765047,-0.671581595136667,1.23491277815806,1.10118168050759,1.06455130890689,0.191131095231882,-0.0760656647723523,1.14061697367924
case_52_v050_psi90,0.5,90,2.67564634338571,5.34576027237282e-10,1.15932950351756,1.51631683986815,23.7198668720409,-0.775475617473267,11.5257756862601,12.1940911857809,0.031163134777003,0.220699149720362,0.340144005792236,0.308980871015233
